NAME,areaname,periodyear,stfips,areatype,area,empYear,avg_estabYear,totwageYear,avgwkwageYear,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ad,pub,agent,arch,land,direct,curator,lib,art,craft,fine_art,multimed,comm_des,fash_des,flor_des,graph_des,int_des,merch,set_des,actor,producer,dancer,chore,music_dir,singer,radio_tv,pub_rel,editor,tech_writ,author,media_other,audio_tech,broad_tech,sound_eng,photo,camera,film,med_equip,makeup,mus_repair
Aitkin,Aitkin County                   ,2014,27,4,1,3735,435,117380412,604,15964,13510,7114,7,7107,6531,576,6396,165,16.93,17.31,0.80,25.3,10.3,1,1,2,4,1,5,0,3,5,4,9,3,3,1,3,17,7,3,0,3,2,1,0,4,16,3,3,6,1,14,1,1,1,0,33,1,1,0,0,3
Anoka,Anoka County                    ,2014,27,4,3,116843,6885,5581512952,918,336316,262119,192597,152,192445,178642,13803,69522,4620,18.08,18.86,0.93,25.9,13.7,26,41,44,96,37,129,2,86,107,133,252,107,61,14,84,375,121,145,21,85,54,44,10,125,536,30,129,145,64,472,40,41,9,12,851,18,22,9,6,37
Becker,Becker County                   ,2014,27,4,5,13888,1027,485988851,673,32971,25793,16416,6,16410,15668,742,9377,513,19.65,20.11,0.73,32.7,15.6,2,2,5,10,2,16,1,9,14,15,31,12,5,1,8,48,12,7,2,10,6,4,1,17,59,13,10,17,4,51,3,4,3,1,95,2,2,1,1,7
Beltrami,Beltrami County                 ,2014,27,4,7,18783,1181,678959948,695,45236,35131,22868,7,22861,20340,2521,12263,588,16.81,17.37,0.80,28.9,13.0,3,4,5,10,2,22,2,14,13,16,30,12,5,1,11,40,8,10,2,12,8,4,1,26,68,15,14,37,6,58,7,8,7,3,90,3,3,2,1,4
Benton,Benton County                   ,2014,27,4,9,17185,929,613163109,686,38980,30263,21442,6,21436,19701,1735,8821,853,17.39,18.16,0.92,43.3,21.9,3,5,9,12,2,21,0,7,22,30,58,22,11,2,10,74,20,21,3,25,8,6,2,25,118,17,19,23,5,104,7,6,2,1,139,2,3,1,1,7
Big Stone,Big Stone County                ,2014,27,4,11,1756,205,59354369,649,5180,4235,2536,1,2535,2453,82,1699,58,16.47,17.07,0.63,23.7,11.2,0,0,0,1,0,5,0,3,1,2,3,1,0,0,4,3,1,1,0,1,0,1,0,4,7,1,1,1,0,5,0,0,0,0,8,0,0,0,0,1
Blue Earth,Blue Earth County               ,2014,27,4,13,38064,1943,1479447172,747,64720,53365,38059,13,38046,35889,2157,15306,1047,18.43,19.16,0.72,29.2,16.2,4,10,8,14,3,31,2,31,23,28,51,23,14,3,21,87,28,26,3,39,17,6,3,29,106,18,29,44,10,94,12,17,5,4,174,5,5,6,1,12
Brown,Brown County                    ,2014,27,4,15,13527,807,501360720,712,25513,20596,14104,2,14102,13504,598,6492,397,18.45,19.36,0.72,29.4,15.6,4,4,3,4,1,20,1,9,11,10,17,8,5,1,6,42,7,7,1,6,4,2,2,14,39,12,17,26,4,47,3,5,1,1,47,1,1,1,0,4
Carlton,Carlton County                  ,2014,27,4,17,13670,742,541564407,761,35430,28059,17309,50,17259,16103,1156,10750,376,16.88,17.56,0.70,23.4,10.6,2,3,4,7,1,13,1,17,9,12,24,9,6,2,6,23,8,8,1,9,4,2,1,13,49,4,11,11,2,41,5,6,1,1,52,1,1,2,0,3
Carver,Carver County                   ,2014,27,4,19,36410,2260,1793325363,947,94212,70237,53443,0,53443,50888,2555,16794,2296,20.00,20.84,1.41,45.1,24.4,33,27,20,44,14,43,0,32,65,53,100,50,31,11,28,223,57,65,29,58,41,23,8,51,221,9,101,63,29,212,36,20,2,8,455,8,12,5,2,8
Cass,Cass County                     ,2014,27,4,21,9981,825,272729670,526,28499,23084,13254,9,13245,12114,1131,9830,631,17.43,17.72,0.95,52.1,22.1,3,2,7,15,3,9,1,14,19,19,37,15,8,3,16,53,19,9,2,10,5,5,1,16,69,3,13,27,4,67,3,4,1,1,130,3,3,1,1,12
Chippewa,Chippewa County                 ,2014,27,4,23,5694,422,197515462,667,12235,9803,6611,9,6602,6365,237,3192,196,17.31,17.95,0.74,30.8,16.0,3,2,2,2,0,10,0,4,5,5,10,4,3,1,6,16,3,5,0,3,2,1,0,8,21,5,13,7,3,18,1,1,0,0,27,0,1,0,0,1
Chisago,Chisago County                  ,2014,27,4,25,14251,1114,514446690,693,53798,42215,29193,24,29169,27429,1740,13022,512,18.41,19.17,0.82,18.7,9.5,3,4,5,17,5,18,0,12,12,14,26,11,8,2,8,36,10,15,2,9,6,5,1,15,59,3,15,20,4,53,4,4,1,1,91,2,3,1,1,5
Clay,Clay County                     ,2014,27,4,27,18455,1315,670443898,698,60249,47682,34339,55,34284,32598,1686,13343,755,17.77,18.30,0.97,23.1,12.5,3,6,8,23,5,39,5,10,21,24,45,20,6,2,14,38,13,8,3,20,8,6,1,27,102,6,17,16,6,82,18,21,2,3,112,2,3,4,1,4
Clearwater,Clearwater County               ,2014,27,4,29,2607,217,96730832,711,8735,6813,3913,0,3913,3549,364,2900,93,17.65,18.00,0.70,26.2,10.6,0,1,1,3,0,3,0,2,3,3,5,2,2,0,4,8,3,1,0,2,1,1,0,4,11,1,2,3,1,10,0,2,0,0,12,0,0,0,0,1
Cook,Cook County                     ,2014,27,4,31,2790,293,81652947,564,5197,4507,2928,0,2928,2795,133,1579,151,16.58,16.96,1.14,53.8,29.0,1,0,2,3,1,2,0,3,3,5,9,3,1,0,3,8,3,2,0,6,2,1,0,4,19,4,2,5,1,17,1,1,0,1,32,1,1,1,0,1
Cottonwood,Cottonwood County               ,2014,27,4,33,4732,392,159576417,648,11676,9200,5781,0,5781,5501,280,3419,157,18.19,18.82,0.74,28.6,13.5,1,1,1,4,1,7,1,4,4,3,6,3,3,1,6,14,4,2,0,2,2,1,0,7,13,5,4,7,2,11,1,1,0,0,31,1,1,0,0,2
Crow Wing,Crow Wing County                ,2014,27,4,35,28233,2070,995256519,678,62900,50407,31227,149,31078,28675,2403,19180,659,18.79,19.47,0.68,23.0,10.5,4,5,5,13,3,29,1,10,13,14,26,12,7,2,16,66,14,12,2,19,9,3,3,24,63,21,16,39,8,52,7,6,5,2,111,4,4,2,1,8
Dakota,Dakota County                   ,2014,27,4,37,180775,9586,8988265599,956,405521,314309,234096,212,233884,220143,13741,80213,8364,20.74,21.66,1.12,38.0,20.6,70,93,57,161,57,196,2,115,220,158,303,157,82,28,105,901,190,207,31,108,113,53,21,167,665,49,274,1266,140,699,112,66,23,24,1312,34,42,17,8,36
Dodge,Dodge County                    ,2014,27,4,39,5619,442,223275825,763,20246,15232,11259,44,11215,10789,426,3973,232,18.48,18.84,0.67,21.5,11.5,1,2,2,5,1,8,0,10,6,6,13,5,3,0,2,24,4,2,1,4,2,1,0,7,25,1,5,9,2,21,1,1,0,0,52,1,1,0,0,2
Douglas,Douglas County                  ,2014,27,4,41,17977,1336,687201227,735,36413,29515,19480,14,19466,18462,1004,10035,508,17.54,18.12,0.68,27.5,14.0,3,3,5,9,2,21,1,7,13,14,27,11,6,2,10,37,11,12,2,12,5,3,1,20,58,20,12,19,7,48,4,5,4,1,86,2,2,1,1,5
Faribault,Faribault County                ,2014,27,4,43,4864,452,223254154,879,14337,11663,7428,2,7426,7067,359,4235,154,17.56,18.43,0.79,21.7,10.7,0,1,1,3,1,9,0,4,3,4,8,3,1,0,4,8,3,2,0,2,1,1,0,7,19,15,4,5,1,15,1,1,2,0,16,0,0,0,0,2
Fillmore,Fillmore County                 ,2014,27,4,45,6009,639,184717200,591,20842,16393,10931,4,10927,10403,524,5462,247,17.35,18.08,0.80,23.8,11.9,1,1,2,6,1,12,1,5,6,7,13,5,3,1,4,14,5,3,1,7,4,2,2,10,29,5,7,11,1,26,1,2,1,1,42,1,1,0,0,3
Freeborn,Freeborn County                 ,2014,27,4,47,12094,805,445980589,709,31034,25015,16127,1,16126,15281,845,8888,319,18.60,19.53,0.64,20.9,10.3,2,2,3,2,1,20,1,7,7,9,17,7,4,1,7,22,5,4,1,6,4,2,0,13,41,9,9,15,2,38,2,3,2,1,43,2,1,1,0,2
Goodhue,Goodhue County                  ,2014,27,4,49,21629,1324,914178985,813,46336,36933,25138,4,25134,23625,1509,11795,550,18.42,19.22,0.67,23.3,11.9,3,6,4,10,3,29,1,19,12,14,24,10,14,12,15,69,9,7,1,8,5,3,2,19,56,3,21,21,5,51,3,5,1,1,75,2,2,1,1,5
Grant,Grant County                    ,2014,27,4,51,1928,250,66112891,658,5977,4850,3119,0,3119,2961,158,1731,79,16.58,17.11,0.67,26.6,13.2,0,1,1,2,0,5,0,1,2,2,5,2,1,0,3,5,1,1,0,2,0,1,0,4,10,0,2,3,1,7,0,1,0,0,14,0,0,0,0,1
Hennepin,Hennepin County                 ,2014,27,4,53,866057,37761,55336573979,1229,1184091,946185,681820,384,681436,633747,47689,264365,39399,24.29,25.48,1.32,62.2,33.3,500,710,320,1282,356,820,39,531,972,880,1674,862,426,200,327,3803,1077,1162,339,786,689,341,90,826,3856,245,1838,1742,662,3753,818,421,145,149,6022,162,252,151,38,130
Houston,Houston County                  ,2014,27,4,55,4934,427,148432313,578,18859,15254,10326,3,10323,9741,582,4928,311,18.26,18.75,1.68,31.9,16.5,5,3,3,4,2,11,0,7,7,8,14,6,6,4,8,15,5,18,4,8,13,2,1,8,29,4,4,7,1,26,18,5,2,1,41,4,2,3,0,2
Hubbard,Hubbard County                  ,2014,27,4,57,5767,591,189167903,631,20518,16712,10008,2,10006,9482,524,6704,170,16.73,17.25,0.75,17.9,8.3,1,1,2,2,1,8,0,3,3,4,8,3,1,0,8,11,3,2,1,4,2,1,0,8,21,11,3,5,1,15,1,1,2,0,30,0,1,0,0,2
Isanti,Isanti County                   ,2014,27,4,59,10902,763,401637276,708,38190,29667,20976,23,20953,19346,1607,8691,639,17.72,18.33,0.93,33.0,16.7,3,4,7,17,5,15,0,11,17,22,39,15,9,2,8,45,16,14,2,11,4,5,1,17,75,3,14,31,5,71,4,4,0,1,128,2,2,1,1,8
Itasca,Itasca County                   ,2014,27,4,61,15994,1180,612066775,735,45303,36757,21507,0,21507,19785,1722,15250,418,16.85,17.29,0.68,21.1,9.2,2,2,4,9,3,15,1,10,11,13,23,10,5,1,10,27,8,12,1,18,5,4,1,14,47,11,12,12,3,38,3,6,1,1,66,1,2,1,0,4
Jackson,Jackson County                  ,2014,27,4,63,5757,351,200505805,669,10260,8217,5583,0,5583,5353,230,2634,133,16.43,17.06,0.59,24.9,13.0,1,1,1,1,0,7,1,4,3,3,6,2,4,0,3,11,2,2,0,2,1,1,0,5,13,5,6,6,5,10,1,1,0,0,22,0,0,0,0,1
Kanabec,Kanabec County                  ,2014,27,4,65,3765,294,129295530,660,16084,12913,8089,4,8085,7174,911,4824,170,16.88,17.21,0.79,23.7,10.6,1,1,2,2,0,6,0,4,5,6,11,4,3,1,5,16,4,3,0,4,1,1,0,5,21,1,4,9,1,17,1,1,0,1,25,1,0,0,0,2
Kandiyohi,Kandiyohi County                ,2014,27,4,67,22812,1343,802450808,676,42316,33501,23145,11,23134,21693,1441,10356,528,18.33,19.15,0.62,24.4,12.5,3,4,4,12,2,44,1,15,11,12,22,10,7,2,9,32,9,9,1,10,5,2,1,28,56,29,20,16,7,40,3,5,2,1,82,2,1,1,0,8
Kittson,Kittson County                  ,2014,27,4,69,1485,187,52925890,685,4501,3617,2243,0,2243,2180,63,1374,59,16.60,17.06,0.62,27.0,13.1,0,0,1,1,0,3,0,1,2,2,4,1,1,0,2,4,2,1,0,1,0,0,0,3,8,0,1,2,0,6,0,0,0,0,11,0,0,0,0,1
Koochiching,Koochiching County              ,2014,27,4,71,4766,414,177266007,715,13138,10852,6359,0,6359,5887,472,4493,90,16.85,17.29,0.54,15.3,6.9,1,1,1,2,0,2,0,3,2,2,5,2,1,1,5,9,1,3,0,2,1,1,0,3,9,3,2,3,1,8,1,1,1,0,11,0,0,1,0,2
Lac qui Parle,Lac qui Parle County            ,2014,27,4,73,2288,224,75943009,638,7096,5835,3613,2,3611,3461,150,2222,103,16.27,16.79,0.76,29.8,14.6,0,0,1,2,0,3,1,2,3,2,4,2,1,0,5,9,5,1,0,1,1,1,0,3,9,4,2,3,0,9,0,1,0,0,23,0,0,0,0,1
Lake,Lake County                     ,2014,27,4,75,4305,311,178061559,796,10791,9062,5121,0,5121,4837,284,3941,168,16.66,16.92,0.84,34.7,15.5,1,1,2,2,1,3,2,3,5,6,12,4,2,0,1,11,3,3,1,5,1,2,0,5,23,1,5,5,1,20,1,1,0,0,31,0,1,0,0,1
Lake of the Woods,Lake of the Woods County        ,2014,27,4,77,1584,172,45069981,547,3976,3320,2064,0,2064,1986,78,1256,49,16.61,17.02,0.68,24.8,12.4,0,0,0,0,0,1,0,1,1,1,3,1,0,0,4,4,1,1,0,1,0,1,0,2,5,0,1,2,1,4,0,0,0,0,10,0,0,0,0,1
Le Sueur,Le Sueur County                 ,2014,27,4,79,8534,702,345814727,775,27717,21626,15400,33,15367,14467,900,6226,394,17.63,18.11,0.81,27.2,14.2,2,2,4,8,2,9,0,6,11,12,23,9,4,1,18,26,7,5,1,7,5,3,1,11,42,2,8,18,2,42,2,3,0,3,87,2,3,1,1,4
Lincoln,Lincoln County                  ,2014,27,4,81,1700,223,55106247,623,5821,4682,3072,2,3070,2989,81,1610,62,17.98,18.50,0.59,20.7,10.6,0,0,0,1,0,4,0,2,1,2,3,1,0,0,4,3,1,1,0,1,0,0,0,3,7,0,2,4,1,6,0,0,0,0,9,0,0,0,0,1
Lyon,Lyon County                     ,2014,27,4,83,14912,829,577042268,744,25724,20064,14766,4,14762,14119,643,5298,312,17.83,18.56,0.59,22.1,12.1,2,3,2,5,1,12,1,11,6,7,14,6,5,1,8,23,8,7,1,6,2,2,1,14,31,17,12,10,4,26,2,4,1,0,48,1,1,1,0,3
