County,FIPS,State,State abr.,metro_2003,civ_employ_07_11,creative_employ_07_11,creative_employ_shared,arts_pooled,arts_pooled_share,empYear,avg_estabYear,totwageYear,avgwkwageYear,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ad,pub,agent,arch,land,direct,curator,lib,art,craft,fine_art,multimed,comm_des,fash_des,flor_des,graph_des,int_des,merch,set_des,actor,producer,dancer,chore,music_dir,singer,radio_tv,pub_rel,editor,tech_writ,author,media_other,audio_tech,broad_tech,sound_eng,photo,camera,film,med_equip,makeup,mus_repair,pop_med_earnings,avgwages,pop_med_male,pop_med_female
McLeod County,27085,Minnesota,MN,0,19050,3970,0.20840,135,0.00709,1912,115,60191766,605,36172,28317,19672,13,19659,18670,989,8645,38,16,17,0,2,1,0,0,0,0,0,1,0,5,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,2,3,0,1,2,0,3,0,0,0,0,9,0,0,0,0,1,31357,15.07548077,37316,25789
Mahnomen County,27087,Minnesota,MN,0,2260,280,0.12389,10,0.00443,2378,308,92054726,743,5486,3969,2439,0,2439,2190,249,1530,93,17,17,1,42,17,0,0,1,0,0,4,0,2,2,3,6,2,0,0,6,3,0,1,0,2,1,1,0,5,15,0,1,3,1,11,0,1,0,0,15,0,0,0,0,1,25610,12.3125,28388,22864
Marshall County,27089,Minnesota,MN,0,4795,855,0.17831,25,0.00521,8581,676,317050368,710,9447,7521,5020,4,5016,4772,244,2501,209,17,18,1,44,22,1,2,2,2,1,11,0,7,5,5,10,3,3,1,2,14,3,3,0,3,3,1,0,8,20,17,7,12,2,20,1,2,2,0,32,1,1,1,0,2,31509,15.14855769,39412,25436
Martin County,27091,Minnesota,MN,0,10315,1915,0.18565,40,0.00388,16762,975,685567008,786,20515,16570,10875,2,10873,10392,481,5695,405,17,18,1,39,20,2,3,2,5,1,22,1,11,8,8,14,7,17,2,17,49,12,7,1,6,4,2,0,17,36,18,11,15,13,29,2,3,1,1,50,1,1,1,0,4,28028,13.475,36835,22350
Meeker County,27093,Minnesota,MN,0,11550,1855,0.16061,45,0.00390,7008,586,238272319,653,23147,18089,12141,0,12141,11423,718,5948,328,17,17,1,29,14,1,1,4,10,1,11,1,5,9,11,21,8,5,2,6,20,6,5,1,7,3,2,1,11,42,3,7,10,4,36,1,2,0,0,63,1,1,1,0,5,31155,14.97836538,39363,23653
Mille Lacs County,27095,Minnesota,MN,0,12145,1890,0.15562,90,0.00741,9581,690,298806988,599,25891,20094,12834,3,12831,11745,1086,7260,200,18,18,1,17,8,1,1,1,3,1,13,1,14,4,4,8,3,4,1,7,22,4,3,0,5,1,1,0,8,21,0,6,5,1,14,2,2,0,0,34,1,0,0,0,2,28179,13.54759615,35030,22165
Morrison County,27097,Minnesota,MN,0,16030,2175,0.13568,105,0.00655,10575,939,344031415,625,33054,26034,17629,4,17625,16327,1298,8405,395,18,19,1,24,12,7,6,2,5,1,21,1,6,11,9,16,9,3,1,8,46,5,12,1,6,4,1,1,20,36,4,20,14,3,29,4,3,1,1,70,1,1,1,0,3,29055,13.96875,34748,22980
Mower County,27099,Minnesota,MN,0,19185,3225,0.16810,90,0.00469,16255,857,694590705,821,39312,30605,20391,0,20391,19068,1323,10214,369,18,19,1,19,9,3,6,3,5,2,20,3,11,7,8,16,7,3,1,2,23,4,6,1,6,8,2,1,15,40,8,15,16,2,39,4,6,5,1,56,4,2,2,1,4,30536,14.68076923,35778,24933
Murray County,27101,Minnesota,MN,0,4475,750,0.16760,35,0.00782,2960,335,95747332,622,8586,6992,4482,4,4478,4287,191,2510,113,17,17,1,26,13,0,1,1,1,0,9,0,2,3,3,6,2,1,0,7,11,3,2,0,2,1,1,0,5,15,0,3,3,1,9,0,1,0,0,17,0,0,0,0,1,30014,14.42980769,37273,21777
Nicollet County,27103,Minnesota,MN,0,18380,4555,0.24782,210,0.01143,14117,674,543504720,740,32923,26322,19360,2,19358,18572,786,6962,531,18,19,1,29,16,3,6,3,4,1,23,1,15,10,8,15,9,6,2,6,129,7,12,2,9,16,2,1,14,41,9,15,20,4,33,10,10,9,2,58,7,3,4,0,2,30566,14.69519231,35566,24076
Nobles County,27105,Minnesota,MN,0,10735,1235,0.11504,55,0.00512,10326,623,366606213,682,21589,16551,11090,11,11079,10325,754,5461,227,17,18,1,22,11,1,1,2,3,1,13,1,7,5,6,10,4,4,1,4,17,4,4,1,4,2,1,0,10,27,7,7,12,2,22,1,2,1,0,38,1,1,1,0,2,27297,13.12355769,31327,23165
Norman County,27107,Minnesota,MN,0,3290,460,0.13982,4,0.00122,1680,241,55473458,634,6725,5388,3343,2,3341,3174,167,2045,78,17,18,1,24,12,0,0,1,2,0,2,0,1,2,2,4,1,1,1,3,6,2,1,0,1,1,1,0,3,8,5,1,7,1,8,0,0,1,0,11,0,0,0,0,1,28429,13.66778846,35105,23423
Olmsted County,27109,Minnesota,MN,1,77300,19415,0.25116,860,0.01113,92298,3355,5026025344,1047,147431,114388,82864,21,82843,79169,3674,31524,2580,20,21,1,33,18,13,58,18,38,6,73,3,75,51,56,105,50,18,7,28,172,51,47,6,64,46,12,9,60,218,35,118,106,36,204,44,29,23,10,613,21,14,14,3,26,36887,17.73413462,41468,32754
Otter Tail County,27111,Minnesota,MN,0,27675,5245,0.18952,210,0.00759,22338,1754,779927265,671,57417,46636,29165,13,29152,27638,1514,17471,588,18,18,1,21,10,2,4,5,10,2,35,1,10,14,16,30,12,6,2,17,43,11,9,2,10,4,4,1,26,75,9,14,29,6,56,4,5,2,1,99,2,2,1,1,6,29875,14.36298077,36290,23161
Pennington County,27113,Minnesota,MN,0,7470,1610,0.21553,45,0.00602,10288,420,419549592,783,14041,11055,7807,0,7807,7514,293,3248,243,16,17,1,32,17,1,1,2,3,1,8,0,6,5,7,14,5,4,1,2,20,3,5,1,5,2,1,0,9,31,12,5,11,5,26,2,3,2,0,34,0,1,1,0,2,28658,13.77788462,32890,24977
Pine County,27115,Minnesota,MN,0,13135,2165,0.16483,35,0.00267,8065,606,230540130,549,29347,23916,14149,3,14146,12937,1209,9767,188,17,17,1,15,6,1,1,2,2,1,11,1,13,4,4,8,3,2,0,11,14,3,4,0,4,1,1,0,7,20,1,6,8,2,17,2,3,0,1,25,1,1,1,0,2,24698,11.87403846,29563,21255
Pipestone County,27117,Minnesota,MN,0,4785,650,0.13584,20,0.00418,4395,345,139322896,609,9407,7366,4914,2,4912,4688,224,2452,90,19,19,1,19,10,0,1,1,1,0,6,1,3,2,2,4,1,1,0,4,10,1,1,0,2,1,1,0,5,11,3,3,4,1,7,0,2,0,0,9,0,0,0,0,1,27074,13.01634615,35316,20765
Polk County,27119,Minnesota,MN,1,15770,2810,0.17819,100,0.00634,12234,965,435761580,684,31630,25028,16540,36,16504,15671,833,8488,286,19,19,1,18,9,1,4,3,13,2,22,3,11,15,9,13,6,2,0,12,14,3,4,2,4,5,2,0,11,31,4,8,7,1,23,3,4,1,0,39,1,1,1,0,2,29938,14.39326923,35526,23772
Pope County,27121,Minnesota,MN,0,5650,1085,0.19204,40,0.00708,4195,341,161983998,741,10946,8903,5686,0,5686,5422,264,3217,167,17,17,1,31,15,0,1,2,3,1,6,0,2,5,6,12,5,2,0,3,14,4,3,0,4,1,1,0,7,24,1,3,5,2,20,1,1,0,0,26,0,0,0,0,2,30371,14.60144231,37601,23110
Ramsey County,27123,Minnesota,MN,1,255265,78070,0.30584,4360,0.01708,323276,13221,18718732560,1114,521265,413165,283798,126,283672,261376,22296,129367,13219,21,23,1,51,25,131,291,165,338,118,361,45,280,269,289,538,261,124,60,125,1098,283,343,130,248,281,119,34,316,1302,160,623,618,191,1192,311,209,128,56,1921,66,81,50,13,50,31858,15.31634615,35723,28829
Red Lake County,27125,Minnesota,MN,0,2120,465,0.21934,4,0.00189,1029,128,32128120,599,4071,3171,2204,0,2204,2094,110,967,14,18,19,0,6,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,29796,14.325,31595,27854
Redwood County,27127,Minnesota,MN,0,7720,1260,0.16321,15,0.00194,6413,543,208730911,625,15834,12409,8034,4,8030,7627,403,4375,154,17,18,1,20,10,1,1,1,1,0,13,1,8,3,3,5,2,5,0,7,17,3,3,0,2,1,1,0,8,14,7,5,3,2,8,1,1,0,0,21,0,1,0,0,3,28793,13.84278846,35121,22085
Renville County,27129,Minnesota,MN,0,7890,1170,0.14829,50,0.00634,5747,576,215553229,720,15326,12303,8035,1,8034,7550,484,4268,113,17,18,0,15,7,0,1,1,1,0,11,0,5,2,3,5,2,2,0,6,7,1,2,0,2,1,1,0,7,14,1,4,4,2,9,0,1,0,0,14,0,0,0,0,1,30301,14.56778846,39536,22262
Rice County,27131,Minnesota,MN,0,32770,7095,0.21651,460,0.01404,23313,1482,947745491,781,64829,51740,35632,9,35623,33390,2233,16108,787,19,20,1,24,12,4,9,6,10,3,27,3,21,16,20,38,15,7,3,11,49,14,12,2,13,8,4,3,28,84,47,26,35,5,88,12,25,5,3,118,2,3,4,1,4,25439,12.23028846,32117,19921
Rock County,27133,Minnesota,MN,0,4870,685,0.14066,15,0.00308,3488,300,120436695,664,9587,7476,4907,9,4898,4703,195,2569,85,17,17,1,18,9,0,1,1,2,0,7,0,3,2,2,4,1,1,0,4,5,1,1,0,1,1,1,0,4,10,2,3,5,1,7,0,1,0,0,10,0,0,0,0,1,27958,13.44134615,35824,22806
Roseau County,27135,Minnesota,MN,0,8360,1260,0.15072,80,0.00957,8911,440,397014213,856,15545,12220,8626,2,8624,8329,295,3594,185,17,18,0,22,12,1,1,2,4,1,5,0,3,4,4,9,3,5,0,4,14,3,2,0,3,2,1,0,6,18,3,5,9,5,15,1,1,1,0,45,1,1,0,0,2,31768,15.27307692,36076,26672
St. Louis County,27137,Minnesota,MN,1,94740,20650,0.21796,825,0.00871,96349,5245,4030859786,804,200563,166296,103194,204,102990,94870,8120,63102,2732,17,18,1,29,14,24,28,21,85,9,94,17,61,60,72,128,60,48,10,64,168,53,63,8,64,73,18,12,88,300,82,92,93,23,243,47,59,47,10,342,16,12,17,3,17,26104,12.55,32226,21444
Scott County,27139,Minnesota,MN,1,69450,22845,0.32894,920,0.01325,43324,2978,1950509762,866,135129,99801,77066,46,77020,72883,4137,22735,1625,20,21,1,22,12,13,20,14,36,20,40,1,60,37,34,66,32,21,10,15,195,50,36,11,27,22,24,4,38,144,8,61,52,19,131,23,18,3,6,303,8,9,4,2,11,43429,20.87932692,52046,35468
Sherburne County,27141,Minnesota,MN,1,44655,10295,0.23055,490,0.01097,25845,1859,1024234872,761,89770,67220,49583,0,49583,46526,3057,17637,835,18,19,1,18,9,6,9,7,17,10,32,1,24,20,21,39,18,13,4,18,73,32,29,4,13,9,8,2,25,88,5,27,26,8,74,8,7,2,2,137,3,4,1,1,7,36289,17.44663462,44514,28040
Sibley County,27143,Minnesota,MN,0,7900,1160,0.14684,40,0.00506,4032,380,145494413,693,15096,11750,8325,0,8325,7795,530,3425,109,17,18,1,14,7,1,1,1,1,0,12,0,3,3,3,5,3,1,0,3,9,3,2,0,1,1,1,0,6,12,0,4,6,1,10,0,1,0,0,14,0,0,0,0,1,30983,14.89567308,37440,25025
Stearns County,27145,Minnesota,MN,1,79870,15515,0.19425,795,0.00995,82976,4234,3410779210,790,151728,120610,87205,52,87153,81665,5488,33405,1862,18,19,1,23,12,12,35,11,26,5,72,2,45,35,33,63,34,29,5,41,179,50,88,8,66,31,9,5,54,153,58,112,56,20,131,44,36,12,7,246,7,7,16,2,17,28114,13.51634615,33111,22490
Steele County,27147,Minnesota,MN,0,19040,3825,0.20089,115,0.00604,21530,928,845899403,756,36472,28200,19689,23,19666,18382,1284,8511,430,18,19,1,23,12,2,4,3,5,2,19,1,9,8,11,20,8,14,1,13,57,9,7,1,7,3,2,0,14,43,20,14,15,5,41,2,4,2,1,57,1,1,1,0,4,33462,16.0875,40126,26043
Stevens County,27149,Minnesota,MN,0,4905,1085,0.22120,50,0.01019,5341,353,219843068,790,9748,7929,5379,0,5379,5145,234,2550,112,16,17,1,22,11,1,1,1,1,0,7,0,4,2,2,4,2,1,0,8,9,2,2,0,2,1,0,0,5,12,4,4,5,2,8,2,2,1,0,14,0,0,1,0,1,23627,11.35913462,35303,16121
Swift County,27151,Minnesota,MN,0,4700,755,0.16064,20,0.00426,3499,329,123506709,678,9602,7823,5193,0,5193,4975,218,2630,78,16,17,1,16,8,1,1,1,0,0,6,0,3,1,2,3,1,1,0,2,4,1,1,0,1,1,1,0,5,9,3,3,3,2,6,1,1,1,0,11,1,0,0,0,1,30118,14.47980769,38965,21881
Todd County,27153,Minnesota,MN,0,11765,1390,0.11815,30,0.00255,6001,556,200312635,642,24588,19350,12085,4,12081,11320,761,7265,178,17,18,1,16,7,0,1,1,2,1,12,0,5,4,4,8,3,2,1,5,19,3,2,0,2,2,1,0,10,21,2,3,11,1,14,1,1,1,0,30,1,1,0,0,1,27561,13.25048077,32890,22524
Traverse County,27155,Minnesota,MN,0,1770,230,0.12994,4,0.00226,1055,142,34482225,628,3455,2844,1707,0,1707,1661,46,1137,37,17,18,1,22,11,0,0,0,0,0,2,0,1,1,1,2,1,0,0,3,2,1,0,0,1,0,0,0,1,5,0,1,3,0,4,0,0,0,0,7,0,0,0,0,0,27425,13.18509615,35282,22061
Wabasha County,27157,Minnesota,MN,1,11665,1955,0.16760,105,0.00900,6918,602,234270233,651,21485,17177,11822,2,11820,11237,583,5355,180,20,20,1,16,8,1,3,1,2,0,9,0,10,3,4,8,3,3,0,3,11,3,3,1,8,2,1,0,6,18,1,8,8,2,14,2,1,0,0,33,1,1,0,0,3,32687,15.71490385,37426,28416
Wadena County,27159,Minnesota,MN,0,5995,925,0.15430,30,0.00500,5752,427,203699115,681,13754,10840,6122,2,6120,5793,327,4718,105,17,18,1,18,8,1,1,1,1,0,5,0,5,2,2,4,1,1,0,5,7,1,3,0,1,1,0,0,4,9,10,3,6,1,6,1,1,2,0,17,0,0,0,0,2,24651,11.85144231,31688,19621
Waseca County,27161,Minnesota,MN,0,9740,1685,0.17300,60,0.00616,6774,498,258149930,733,19127,15101,9992,0,9992,9448,544,5109,160,18,19,1,17,8,1,2,1,2,1,13,1,6,4,3,6,2,2,0,2,34,3,1,0,2,1,1,0,7,16,0,6,7,2,14,1,1,0,0,16,0,0,1,0,1,30072,14.45769231,37751,22341
Washington County,27163,Minnesota,MN,1,123575,40815,0.33029,1600,0.01295,76684,5281,3229676196,810,244103,188788,135984,151,135833,128308,7525,52804,3043,20,20,1,24,12,24,30,26,78,28,110,1,64,70,68,130,62,38,13,53,274,95,98,13,45,36,28,9,85,308,13,98,121,31,279,29,24,4,8,591,12,17,5,3,22,41534,19.96826923,50948,34419
Watonwan County,27165,Minnesota,MN,0,5690,620,0.10896,35,0.00615,4021,313,125505435,600,11151,8651,5957,4,5953,5702,251,2694,68,16,17,0,12,6,0,1,0,1,0,7,0,3,1,1,2,1,0,0,2,7,1,1,0,0,0,0,0,4,6,0,3,5,0,5,0,1,0,0,11,0,0,0,0,1,28250,13.58173077,33056,23816
Wilkin County,27167,Minnesota,MN,0,3305,505,0.15280,20,0.00605,2010,209,72490157,693,6561,5177,3502,0,3502,3393,109,1675,67,19,19,1,20,10,0,0,1,0,0,4,0,1,2,2,4,2,1,0,3,6,2,1,0,1,0,0,0,3,9,0,1,2,0,6,0,0,0,0,12,0,0,0,0,1,31245,15.02163462,40778,22455
Winona County,27169,Minnesota,MN,0,28290,5645,0.19954,265,0.00937,24781,1163,933751352,724,51285,42855,30398,4,30394,27914,2480,12457,716,18,19,1,26,14,6,12,7,10,2,29,3,19,15,15,28,12,10,3,9,63,9,9,2,10,11,5,1,33,66,11,32,32,8,72,16,24,3,33,79,2,5,6,1,4,22803,10.96298077,26838,20134
Wright County,27171,Minnesota,MN,1,64310,16520,0.25688,590,0.00917,38795,3012,1478922536,732,127386,93690,71058,64,70994,67021,3973,22632,1295,18,19,1,19,10,10,12,11,35,15,48,0,35,31,30,58,26,20,7,24,120,40,51,5,18,12,9,2,37,126,7,43,52,11,112,10,10,3,3,238,4,5,2,1,12,38468,18.49423077,47955,30291
Yellow Medicine County,27173,Minnesota,MN,0,5255,805,0.15319,55,0.01047,4073,342,138957644,656,10233,8176,5312,5,5307,5119,188,2864,75,17,18,0,15,7,0,1,0,1,0,7,1,6,1,1,2,1,1,0,4,5,1,1,0,1,0,0,0,6,7,0,4,3,1,4,0,1,0,0,13,0,0,0,0,1,28750,13.82211538,36008,22575
